timestamp_s,state,mode,event,roc_C_per_s,roc_F_per_s,raw_temp_C,raw_temp_F,expected_raw_C,expected_raw_F,deviation_C,corr_temp_C,corr_temp_F,thermal_offset_C,ambient_est_C,ambient_est_F,rel_alt_m,rel_alt_ft,air_density_kg_m3,station_pressure_hPa,sea_level_pressure_QFF_hPa,battery_V,thrust,temp_var,press_var
1769878330.632909,IDLE,STABLE,Offset drift update (STABLE),-0.0018401167174521243,-0.003312210091413824,34.02063751220703,93.23714752197266,34.043349477897394,93.2780290602153,-0.015961956217211082,24.768131265417388,76.5826362777513,9.258458158451932,24.783614362948082,76.61050585330655,0.7791835685122592,2.5563766189177604,1.1930569758709875,1020.2713012695312,1022.0278647868853,4.032844543457031,0,baro.temp,baro.pressure
1769878331.1328712,IDLE,STABLE,Offset drift update (STABLE),-0.0015661048978172331,-0.0028189888160710195,34.0208625793457,93.23755264282227,34.042072521400016,93.27573053852004,-0.015467992799969466,24.768146370148116,76.58266346626661,9.257684758811934,24.783150323164083,76.60967058169535,0.864584009350942,2.8365618012389446,1.193044853578155,1020.260986328125,1022.017531997504,4.032844543457031,0,baro.temp,baro.pressure
1769878331.6337173,IDLE,STABLE,Offset drift update (STABLE),-0.002034719689782285,-0.003662495441608113,34.01811218261719,93.23260192871093,34.04083508197601,93.27350314755682,-0.0152496348939124,24.767900688270167,76.5822212388863,9.256922277067238,24.782692834117267,76.60884710141107,0.7837315033610608,2.5712976654871027,1.193057256906696,1020.270751953125,1022.0273158852011,4.032844543457031,0,baro.temp,baro.pressure
1769878332.1356382,IDLE,STABLE,Offset drift update (STABLE),-0.0012331208752177666,-0.00221961757539198,34.02042770385742,93.23676986694336,34.0396151111845,93.2713072001321,-0.014648593289365408,24.768044240827898,76.58247963349021,9.25618984740277,24.782253376318586,76.60805607737345,0.7145020430820779,2.3441668830254043,1.1930664599443035,1020.2791137695312,1022.0356912508486,4.032844543457031,0,baro.temp,baro.pressure
1769878332.634344,IDLE,STABLE,Offset drift update (STABLE),-0.0036301442756461405,-0.006534259696163053,34.00988006591797,93.21778411865235,34.03844322372136,93.26919780269844,-0.015287080063480118,24.76696629625511,76.5805393332592,9.255425493399596,24.781794763916682,76.60723057505002,0.7276404454754726,2.3872718791337495,1.1930689211136296,1020.2775268554688,1022.0341079648462,4.032844543457031,0,baro.temp,baro.pressure
1769878333.1350665,IDLE,STABLE,Offset drift update (STABLE),-0.002556344505503151,-0.0046014201099056715,34.012489318847656,93.22248077392578,34.03722025731628,93.2669964631693,-0.01534413263562584,24.766450631281057,76.5796111363059,9.254658286767814,24.781334439937613,76.60640199188771,0.7599811988001122,2.49337671627136,1.1930664183925337,1020.2736206054688,1022.0301980321539,4.032844543457031,0,baro.temp,baro.pressure
1769878333.6359537,IDLE,STABLE,Offset drift update (STABLE),-0.0015524470400263707,-0.0027944046720474675,34.01539611816406,93.22771301269532,34.03599272670543,93.26478690806978,-0.014894202806772228,24.766440237130844,76.57959242683552,9.253913576627475,24.78088761385341,76.60559770493613,0.7534119751657613,2.471824144602836,1.1930673878543716,1020.2744140625,1022.0309929165877,4.032844543457031,0,baro.temp,baro.pressure
1769878334.1350074,IDLE,STABLE,Offset drift update (STABLE),-0.0018987350726185055,-0.00341772313071331,34.01321792602539,93.2237922668457,34.034801190480884,93.26264214286559,-0.014648338327020838,24.766239275526388,76.5792306959475,9.253181159711124,24.7804481637036,76.60480669466648,0.7761516130488388,2.546429258155152,1.1930649809033658,1020.2716674804688,1022.0282427915761,4.032844543457031,0,baro.temp,baro.pressure
1769878334.6343694,IDLE,STABLE,Offset drift update (STABLE),-0.0019495302541692927,-0.003509154457504727,34.01202392578125,93.22164306640624,34.03362932341472,93.2605327821465,-0.01445194242557335,24.765996221278023,76.57879319830045,9.252458562589846,24.780014605430832,76.6040262897755,0.7771622647748302,2.5497450447638537,1.19306581151909,1020.2715454101562,1022.0281219451949,4.032844543457031,0,baro.temp,baro.pressure
1769878335.1348627,IDLE,STABLE,Offset drift update (STABLE),-0.002166961884945524,-0.0039005313929019437,34.01013946533203,93.21825103759765,34.03247316802068,93.25845170243721,-0.014380336910384983,24.76563426852045,76.57814168333681,9.251739545744327,24.77958319532352,76.60324975158234,0.7357256244088006,2.4137980575853692,1.1930731135571895,1020.2765502929688,1022.0331375804425,4.032844543457031,0,baro.temp,baro.pressure
